t,pX,pY,pZ,aX,aY,aZ,reX,reY,reZ,rtX,rtY,rtZ,ID
4.74,-44.30571,1.101702,-36.82837,2.894307316233685,-0.1239733714378878,2.332292925758419,14.63796,356.3558,163.6093,-0.0130642,-0.130524,0.9818043,8
4.76,-44.30647,1.301532,-36.82785,2.931492459933674,-0.1114976767810438,2.2538152207634914,14.6551,356.3616,163.6322,-0.01301893,-0.1306611,0.9818142,8
4.78,-44.29054,1.343875,-36.80101,2.966082361242472,-0.143263098211822,2.168418164210304,14.63701,1.170812,163.4574,0.02835319,-0.1245954,0.9812976,8
4.8,-44.29222,1.741735,-36.79979,2.999844398211434,-0.1497328030635196,2.078183148704154,14.5052,1.119446,163.2533,0.02797053,-0.1234811,0.9811983,8
4.82,-43.75433,1.160984,-35.83227,3.032234458462442,-0.1328175937527536,1.9831947163943344,18.3152,4.994274,166.1901,0.06181748,-0.1526751,0.9783296,8
4.84,-43.76222,1.356222,-35.80686,3.05929081372675,-0.1603371551606374,1.8832934975460107,19.06219,5.097475,166.5123,0.06297722,-0.1591246,0.9775391,8
4.86,-43.7701,1.55127,-35.78149,3.0843003115354835,-0.1629762344883314,1.7803237633938291,19.81043,5.206246,166.8392,0.06413819,-0.1655821,0.976699,8
4.88,-43.63365,1.180397,-35.69111,3.1068631906103272,-0.1426096204425756,1.6743081207101804,15.04936,12.89479,168.8836,0.123404,-0.1187307,0.9790625,8
4.9,-43.62403,1.372845,-35.64801,3.1140784786725373,-0.1695460253908955,1.5612591913169194,16.38003,12.89711,168.8923,0.1243436,-0.1301319,0.9773732,8
4.92,-43.61443,1.564804,-35.60508,3.119611811560364,-0.1716810352082691,1.4454609461583114,17.71314,12.89925,168.8997,0.1252664,-0.1415352,0.9755478,8
4.94,-43.39369,1.211473,-35.473,3.1243539622459995,-0.19576878087604,1.329924497310695,3.564019,25.58969,173.0402,0.2227862,-0.01683311,0.9724826,8
4.96,-43.35824,1.390906,-35.38994,3.1272849229605866,-0.1956764892653842,1.2129271859290371,6.25103,25.59967,173.1573,0.223995,-0.03987193,0.9712433,8
4.98,-43.32318,1.56832,-35.30781,3.12785176890846,-0.1732282903621132,1.0946772287231488,8.940225,25.61525,173.2753,0.225081,-0.06290717,0.969467,8
5.0,-43.11068,1.244063,-35.2413,3.1256582137447744,-0.1301898768405775,0.9752577396583196,358.944,33.41043,176.8623,0.2870861,0.01669241,0.9574693,8
5.02,-43.04407,1.403382,-35.1196,3.0964441801198426,-0.161406090266604,0.8499147184915614,3.017156,33.41616,177.1986,0.2879264,-0.01818245,0.9569791,8
5.04,-42.8512,1.261909,-35.09594,3.065926446735993,-0.1678027912730857,0.7250167115577524,354.8409,40.19983,180.2237,0.343392,0.0415949,0.9381113,8
5.06,-42.77021,1.415875,-34.97324,3.022602952193501,-0.1999847102930861,0.5978877279569037,359.1113,40.17305,180.7304,0.343468,0.005094389,0.9391109,8
5.08,-42.69123,1.564569,-34.85361,2.977946388021934,-0.2066688672867417,0.4716236326724683,3.383485,40.18404,181.2359,0.3430602,-0.03142741,0.9387878,8
5.1,-42.61449,1.708277,-34.73736,2.931653130198163,-0.1896658572198879,0.3463761884534539,7.656918,40.23311,181.7461,0.3421685,-0.06791776,0.9371408,8
5.12,-42.63805,1.249117,-34.92432,2.8679207989410305,-0.2235552008944054,0.2198939742697137,0.8100271,45.60313,182.453,0.3873028,-0.01481004,0.921677,8
5.14,-42.58392,1.418486,-34.83064,2.804407674641713,-0.2311827453450245,0.0950011900169913,3.744148,47.01296,183.7143,0.3974597,-0.04286036,0.9164664,8
5.16,-42.57598,1.231586,-34.83025,2.7407914657906822,-0.2144039381382049,-0.0281147929119942,7.874265,48.71569,184.1967,0.4088947,-0.07757387,0.9092647,8
5.18,-42.52122,1.400307,-34.72377,2.6509660572075253,-0.249834060105286,-0.1550401159411567,11.03154,50.30605,185.888,0.4180424,-0.1086191,0.9018938,8
5.2,-42.46614,1.565562,-34.61998,2.563112713620723,-0.2579841252260197,-0.2791509699163352,14.13882,52.00965,187.6882,0.4267192,-0.1395333,0.8935355,8
5.22,-42.51213,1.207286,-34.73085,2.4770142722517328,-0.2407705761726555,-0.4002379592549321,13.17426,52.0221,184.673,0.4310843,-0.1207695,0.8940855,8
